sym,date,open,high,low,close,volume,pct
a,2020-08-10,57190,57210,51770,51770,177750434,-4.99
a,2020-08-11,51880,51880,51880,51880,6049445,0.21
a,2020-08-12,54400,54470,49290,49290,90366574,-4.99
a,2020-08-15,48690,48690,48690,48690,14348790,-1.22
a,2020-08-16,46260,46260,46260,46260,43093810,-4.99
a,2020-08-18,43950,46000,43950,43950,56798415,-4.99
a,2020-08-19,41860,41860,41860,41860,24118415,-4.76
a,2020-08-22,43950,43950,40000,41150,120277315,-1.7
a,2020-08-23,41600,42990,39870,39870,116409325,-3.11
a,2020-08-24,41000,41870,38040,39900,185680271,0.08
a,2020-08-25,40280,40280,40280,40280,9584664,0.95
a,2020-08-26,42290,42290,42290,42290,12558770,4.99
a,2020-08-31,44400,44400,42510,44400,251325492,4.99
a,2020-09-01,44260,46100,42120,42720,116313593,-3.78
a,2020-09-02,42050,43300,41790,41790,55827095,-2.18
a,2020-09-19,41500,43570,39430,43500,40416505,4.09
a,2020-09-20,44020,44020,40100,42560,206584987,-2.16
a,2020-09-21,42400,43470,40860,41280,94615279,-3.01
a,2020-09-22,42500,42990,39420,41950,102298156,1.62
a,2020-09-23,42100,43060,41100,43060,109306379,2.65
a,2020-09-26,43700,44910,41500,43220,82245762,0.37
a,2020-09-27,42000,42200,41520,41520,7262612,-3.93
a,2020-09-28,39550,39550,39550,39550,3818233,-4.74
a,2020-09-29,37580,38650,37580,37580,99234253,-4.98
a,2020-09-30,37300,38340,35740,38330,125117792,2.0
a,2020-10-03,37400,38440,37100,38440,33642803,0.29
a,2020-10-04,38920,39880,36400,36420,71233348,-5.25
a,2020-10-05,35770,37200,35770,35770,49017896,-1.78
a,2020-10-06,35100,37630,34060,37630,101434827,5.2
a,2020-10-07,37500,37800,36500,37800,69684041,0.45
a,2020-10-10,37500,39460,36250,39460,54460089,4.39
a,2020-10-11,40610,40610,39000,39400,66175933,-0.15
a,2020-10-12,39600,41900,38480,40000,68593586,1.52
a,2020-10-13,41000,42080,38800,42080,97880859,5.2
a,2020-10-14,42100,43420,40000,41320,104761748,-1.81
a,2020-10-18,39990,39990,39990,39990,35641081,-3.22
a,2020-10-19,38000,38000,38000,38000,12427733,-4.98
a,2020-10-20,36100,36100,36100,36100,3654793,-5.0
a,2020-10-21,35000,36980,34300,34300,49485902,-4.99
a,2020-10-24,33130,33130,33130,33130,7665036,-3.41
a,2020-10-26,31480,31480,31480,31480,7055285,-4.98
a,2020-10-27,29910,29910,29910,29910,5539460,-4.99
a,2020-10-28,28420,29480,28420,28510,126082058,-4.68
a,2020-10-31,28030,29870,28010,28810,55195306,1.05
a,2020-11-01,27630,28760,27430,27430,37459286,-4.79
a,2020-11-02,26100,26300,26100,26100,13268420,-4.85
a,2020-11-04,26100,27400,24810,27400,69735802,4.98
a,2020-11-07,25490,25490,25490,25490,8974176,-6.97
a,2020-11-08,24220,24220,24220,24220,1505839,-4.98
a,2020-11-09,23810,23810,23810,23810,30531370,-1.69
a,2020-11-10,23510,24100,22620,22620,55153311,-5.0
a,2020-11-11,22600,23500,21890,22860,107770816,1.06
a,2020-11-14,23100,23620,23100,23620,32872444,3.32
a,2020-11-15,24710,24710,22510,23360,108346088,-1.1
a,2020-11-16,23100,25140,22880,25140,93594734,7.62
a,2020-11-17,25800,26160,25400,26160,33167033,4.06
a,2020-11-18,27420,27420,27420,27420,28610519,4.82
a,2020-11-21,28790,28790,27020,27870,164576994,1.64
a,2020-11-22,27500,29930,27090,29520,184951870,5.92
a,2020-11-23,29700,30290,28990,30050,83933779,1.8
a,2020-11-24,30200,30500,28160,28160,137730241,-6.29
a,2020-11-25,27250,29250,27250,27630,195260723,-1.88
a,2020-11-28,26700,28480,26560,27460,126031062,-0.62
a,2020-11-29,27700,28920,27110,28920,119537261,5.32
